Date,Week,Month,Year,Lines,Models,DefectsDescription,InspectedQty,DefectsQty,DefectsDescriptionqty,Defects %,DefectStatus,Check,FPY,DPPM
2024-09-27,39,September,2024,A03,CLA5,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A09,CLA5,Key Feelbad,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,Mid housing scratch,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A09,CLA5,"Micwassilent,soundsmall,andnoisy",,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A09,CLA5,not detect thefinger print,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A03,CLA5,not detect thefinger print,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,not detect thefinger print,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,Mid housing scratch,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A03,CLA5,Camera lens scratches,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,TP failure,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,Speakersnoise/lowvolume,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,Speakersnoise/lowvolume,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,Speakersnoise/lowvolume,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,Speakersnoise/lowvolume,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,Speakersnoise/lowvolume,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,Speakersnoise/lowvolume,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,receiver small /Noise,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A09,CLA5,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A03,CLA5,Key Feelbad,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,Mid housing scratch,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,Mid housing scratch,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,Speakersnoise/lowvolume,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A09,CLA5,No vibration,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A09,CLA5,No vibration,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A09,CLA5,Power not on / Abnormal / poor display,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A03,CLA5,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,Speakersnoise/lowvolume,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,Battery cover scratch,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,Don't searchGPS,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,QCII-06,KL5,Mid housing scratch,,,1,,Scanned,QCII,,
2024-09-27,39,September,2024,QCII-06,KL5,Battery cover scratch,,,1,,Scanned,QCII,,
2024-09-27,39,September,2024,QCII-06,KL5,Mid housing scratch,,,1,,Scanned,QCII,,
2024-09-27,39,September,2024,QCII-03,CLA5,Power not on / Abnormal / poor display,,,1,,Scanned,QCII,,
2024-09-27,39,September,2024,QCII-03,CLA5,Earphone silent,,,1,,Scanned,QCII,,
2024-09-27,39,September,2024,QCII-03,CLA5,Battery cover gap too large,,,1,,Scanned,QCII,,
2024-09-27,39,September,2024,QCII-03,CLA5,Battery cover gap too large,,,1,,Scanned,QCII,,
2024-09-27,39,September,2024,QCII-03,CLA5,Battery cover gap too large,,,1,,Scanned,QCII,,
2024-09-27,39,September,2024,QCII-03,CLA5,Battery cover scratch,,,1,,Scanned,QCII,,
2024-09-27,39,September,2024,QCII-08,KL5,Mid housing scratch,,,1,,Scanned,QCII,,
2024-09-27,39,September,2024,QCII-09,CLA5,Key Feelbad,,,1,,Scanned,QCII,,
2024-09-27,39,September,2024,QCII-08,KL5,Camera fuzziness,,,1,,Scanned,QCII,,
2024-09-27,39,September,2024,QCII-09,CLA5,Mid housing scratch,,,1,,Scanned,QCII,,
2024-09-27,39,September,2024,QCII-08,KL5,receiver small /Noise,,,1,,Scanned,QCII,,
2024-09-27,39,September,2024,QCII-08,KL5,receiver small /Noise,,,1,,Scanned,QCII,,
2024-09-27,39,September,2024,QCII-08,KL5,Mid housing scratch,,,1,,Scanned,QCII,,
2024-09-27,39,September,2024,QCII-08,KL5,Mid housing scratch,,,1,,Scanned,QCII,,
2024-09-27,39,September,2024,A09,CLA5,Battery cover gap too large,,,3,,Un-scanned,Assembly,,
2024-09-27,39,September,2024,A09,CLA5,Uphousing scratch,,,3,,Un-scanned,Assembly,,
2024-09-27,39,September,2024,A09,CLA5,Extra material,,,3,,Un-scanned,Assembly,,
2024-09-27,39,September,2024,A09,CLA5,Camera lens scratches,,,1,,Un-scanned,Assembly,,
2024-09-27,39,September,2024,A09,CLA5,excessive Glue,,,5,,Un-scanned,Assembly,,
2024-09-27,39,September,2024,A09,CLA5,Camera particle,,,2,,Un-scanned,Assembly,,
2024-09-27,39,September,2024,A09,CLA5,Coaxial wire miss allign,,,2,,Un-scanned,Assembly,,
2024-09-27,39,September,2024,A09,CLA5,Screw Loose,,,2,,Un-scanned,Assembly,,
2024-09-27,39,September,2024,A09,CLA5,Screw missing,,,1,,Un-scanned,Assembly,,
2024-09-27,39,September,2024,A09,CLA5,Mid housing scratch,,,1,,Un-scanned,Assembly,,
2024-09-27,39,September,2024,A09,CLA5,Extra material,,,2,,Un-scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,Screw Loose,,,10,,Un-scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,Uphousing scratch,,,7,,Un-scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,Extra material,,,3,,Un-scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,Camera particle,,,6,,Un-scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,Antenna deform,,,7,,Un-scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,Copper foil missing,,,3,,Un-scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,Coaxial wire miss allign,,,2,,Un-scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,Extra material,,,7,,Un-scanned,Assembly,,
2024-09-27,39,September,2024,A03,CLA5,Camera particle,,,3,,Un-scanned,Assembly,,
2024-09-27,39,September,2024,A03,CLA5,Lower mylar missing,,,2,,Un-scanned,Assembly,,
2024-09-27,39,September,2024,A03,CLA5,Screw Loose,,,2,,Un-scanned,Assembly,,
2024-09-27,39,September,2024,A03,CLA5,sim slot deform,,,4,,Un-scanned,Assembly,,
2024-09-27,39,September,2024,A03,CLA5,excessive Glue,,,1,,Un-scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,Screw Loose,,,6,,Un-scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,Screw missing,,,10,,Un-scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,Mid housing scratch,,,6,,Un-scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,Uphousing scratch,,,1,,Un-scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,Extra material,,,4,,Un-scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,Camera particle,,,1,,Un-scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,Camera particle,,,4,,Un-scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,Extra material,,,3,,Un-scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,Copper foil missing,,,6,,Un-scanned,Assembly,,
2024-09-27,39,September,2024,QCII-08,KL5,Uphousing scratch,,,1,,Un-scanned,QCII,,
2024-09-27,39,September,2024,QCII-08,KL5,Mid housing scratch,,,5,,Un-scanned,QCII,,
2024-09-28,39,September,2024,A06,KL5,Mid housing scratch,,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,A09,CLA5,not detect thefinger print,,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,A03,CLA5,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,A06,KL5,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,QCII-03,CLA5,"Micwassilent,soundsmall,andnoisy",,,1,,Scanned,QCII,,
2024-09-28,39,September,2024,A06,KL5,The back camera has a bad white spot,,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,A06,KL5,"Micwassilent,soundsmall,andnoisy",,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,A06,KL5,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,A03,CLA5,not detect thefinger print,,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,QCII-06,KL5,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,QCII,,
2024-09-28,39,September,2024,QCII-06,KL5,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,QCII,,
2024-09-28,39,September,2024,QCII-06,KL5,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,QCII,,
2024-09-28,39,September,2024,A03,CLA5,Speakersnoise/lowvolume,,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,A06,KL5,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
